Product Name,Product Price,Keywords
"Your Fresh Market Cantaloupe Chunks, 280 g",3.97,cantaloupe_chunks_
"Potato, Russet, 10 lb bag",5.97,potato_
"Pear, Anjou, Sold in singles, 0.25 - 0.26 kg",1.42,pear_anjou_
"Broccolini, Mann's, 6 oz",4.97,broccolini_
"Ginger, Organic, 4.7 oz",3.47,ginger_
"Taylor Farms Dill Pickle Chopped Salad Kit, 333 g",5.97,dill_chopped_salad_kit_
"Tomatoes, Organic Grape, 10 oz",3.97,tomatoes_grape_
"Aurora Minced Garlic, 250g",3.97,garlic_
"Potato, Russet, Sold in singles, 0.24 - 0.42 kg",1.35,potato_
"Your Fresh Market Organic Oranges, 3 lb",7.97,oranges_
"Your Fresh Market San Marino Lettuce Blend, 454 g",5.97,lettuce_blend_
"Your Fresh Market Butter Lettuce Blend Salad Mix, 170 g",3.47,butter_lettuce_blend_salad_mix_
"Your Fresh Market Organic Sweet Potatoes, 3 lb",5.97,sweet_potatoes_
"Apple, Golden Delicious, 3 lb Bag",5.97,apple_golden_
"Radish, Red, Sold in bunches",1.47,radish_red_
"Organic Green Bean, 340 g Bag",4.47,green_bean_
"Celery, Sticks, Sold in bunches",4.97,celery_sticks_
"Fresh Attitude Spring Mix with Toppings, 12 oz",8.97,spring_mix_toppings_
"Your Fresh Market Organic Lemons, 2 lb Bag",6.97,
"Dill, 1 Bunch",2.47,dill_
"Your Fresh Market Value Size Iceberg Garden Salad Mix, 680 g",4.97,garden_salad_mix_
"Mann's Broccoli and Cauliflower, 12 oz",4.27,broccoli_cauliflower_
"Your Fresh Market Watermelon Spears, 590 g",6.47,watermelon_
"Nectarines, Yellow Flesh, Sold in singles, 0.11 - 0.14 kg",0.9,yellow_
"Fresh Thyme, Your Fresh Market, 7 g",0.77,
"Your Fresh Market Pineapple Chunks, 280 g",3.97,pineapple_chunks_
"Corn on the cob, Pack of 4",3.97,corn_
"Your Fresh Market Organic Baby Spinach, 283 g",6.97,baby_spinach_
"Your Fresh Market Iceberg Garden Salad, 340 g",3.47,garden_salad_
"Apple, Macintosh, 3 lb Bag",5.97,apple_macintosh_
"Cucumber, Seedless, Sold in singles",1.77,cucumber_
"Grapes, Green Seedless, 1 Bag, 0.63 - 1.00 kg",6.55,grapes_green_
"Fresh Basil, Your Fresh Market, 28 g",1.97,basil_
"Your Fresh Market Shredded Iceberg Lettuce, 227 g",2.97,shredded_lettuce_
"Fresh Attitude Spring Mix Salad Kit, 5.3 oz",4.97,spring_mix_salad_kit_
"Your Fresh Market Red Potatoes, 5 lb",4.97,red_potatoes_
"Your Fresh Market Organic Carrots, 2 lb",3.97,carrots_
"Your Fresh Market Baby Spinach, 454 g",5.97,baby_spinach_
"Your Fresh Market Sunflower Crunch Salad Kit, 320 g",3.97,sunflower_crunch_salad_kit_
"Potato, White, Your Fresh Market, 5 lb",5.97,potato_white_
"Banana, Sold in singles, 0.15 - 0.23 kg",0.3,banana_
"Strawberries, 1 lb.",4.97,strawberries_
"Haolam String cheese Light Reduced Fat Low-Moisture Mozzarella Cheese, String Cheese",16.97,string_cheese_fat_mozzarella_
"HAOLAM Pizza, Pizza",7.77,pizza_
"Haolam Shredded mozzarella, Mozzarella",7.77,shredded_mozzarella_
"Mehadrin Butter (Unsalted), Butter",11.47,butter_
"MIGDAL American Pasteurized Process American Cheese, American Cheese",32.97,cheese_
"Mehadrin cottage cheese creamed, Cottage cheese creamed",8.97,cottage_cheese_creamed_
"Mehadrin Paper Cheese (Bakers), Cottage Cheese 0.1%",12.47,paper_cheese_cottage_
"Mehadrin Partly Skimmed Chocolate Milk 1% 500ml, Chocolate Milk 500ml",2.47,chocolate_milk_
"Mehadrin Partly Skimmed 2% 1LT. Milk, Milk 2% 1LT",2.97,milk_
"Mehadrin Partly Skimmed 1% 2L Milk, Partly Skimmed Milk 1% 2L",6.27,milk_
"Givat Whipped Plain cream cheese, Whipped Plain cream cheese",6.77,whipped_cream_cheese_
"Mehadrin Greek Cheese Snack, Greek Cheese",4.97,greek_cheese_snack_
"Mehadrin 1% Chocolate Milk 200ml, Chocolate milk",1.17,chocolate_milk_
"KETTLE YOGHURT, Kettle Yoghurt",3.97,yoghurt_
"Castello Jalapeño Havarti Sliced Cheese, 165 g",7.17,sliced_cheese_
"Givat Yummy Kids Vanilla, Kids",1.27,vanilla_
"Natrel Fine-filtered 5% Creamer, 1 L",5.18,natrel_creamer_
"Castello Creamy Havarti Sliced Cheese, 165 g",7.17,creamy_sliced_cheese_
"Liberté Classique 1.5% Drinkable Yogurt, Raspberry Pomegranate, Yogurt Drink, 1 L, 1 L",5.67,yogurt_raspberry_pomegranate_drink_
"Armstrong Swirls Real Cheese Snacks, 12 x 24 g Sticks",7.47,cheese_snacks_sticks_
"Norman Wholemilk pouches Strawberry, Wholemilk pouches",1.97,strawberry_
"Schtark Shredded Mozzarella 2Lbs, MOZZARELLA",29.77,shredded_mozzarella_
"Norman's LOWFAT Yogurt Vanilla M&M, Vanilla M&M",2.47,yogurt_vanilla_
"Schtark Premium Pizza Blend 2Lbs, Schtark Shredded Premium Pizza 2Lbs",29.77,pizza_blend_shredded_
"Plant Up Butter Chik'n Bites, Plant-Based Butter Chik'n Bites",8.97,butter_based_
"E- BGGR  STRWBERRY, E- BGGR  STRWBERRY",8.97,
"Armstrong Mozzarella Real Cheese Snacks, 12 x 28 g Sticks",7.97,mozzarella_cheese_snacks_sticks_
"Natrel Lactose Free Fat Free Skim 0%, 4 L",10.88,natrel_fat_
"Saputo Creamy Havarti Cheese Slices, 160 g",7.17,creamy_cheese_
"Cracker Barrel Cheddar Coloured Mild Cheese, 400g",8.17,cracker_cheddar_cheese_
"Armstrong Combos Mozza & Smoked Salami Sticks, 8 sticks (12 x 180g)",5.57,smoked_salami_sticks_
"Mini Babybel Variety Cheese Snacks 18P, 18 Portions, 360 g",9.87,variety_cheese_snacks_
"Liberte Greek Vanilla 0% Yogourt, 4x100g",4.28,greek_vanilla_yogourt_
"Black Diamond Cheddar Thin Slices, 44 slices, 825 g",10.87,black_cheddar_
"Natrel Coffee Creamer Hazelnut, 1 L",6.48,natrel_coffee_creamer_
"Gay Lea Foods Light Spreadables Butter, 227 g",5.98,foods_butter_
"Saputo Doré-Mi Plain Haloumi Grilling Cheese, 160 g",7.17,cheese_
"The Laughing Cow, Light, Spreadable Cheese 16P, 16 Portions, 267 g",6.97,cheese_
"The Laughing Cow, Original, Spreadable Cheese 16P, 16 Portions, 267 g",6.97,cheese_
"Cracker Barrel Shredded Cheese Habanero Heat, 320g",7.67,cracker_shredded_cheese_
"SILK SOY 890ML, Silk Soy 890ml Coffee Creamer",5.28,soy_coffee_creamer_
"Liberté Greek 2% Extra Fruit Black Cherry Raspberry, High Protein, 650 g, 650 g",5.87,greek_extra_fruit_black_cherry_raspberry_protein_
"Burnbrae Farms EGG Creations Fat Free Original liquid, 500 g",5.98,egg_fat_liquid_
"Naturegg Simply Egg  Whites™ Organic Burnbrae Farms, 500 g / carton",6.97,egg_
"Tre Stelle Lactose Free Deluxe Pizza Mozzarella Cheese, 340 g",7.27,pizza_mozzarella_cheese_
"Gay Lea Fat Free Sour Cream, 500 mL",3.18,fat_sour_cream_
"Armstrong Pizza Mozzarella Shredded Cheese, 320 g",7.17,pizza_mozzarella_shredded_cheese_
"Cracker Barrel Sweet Combo - Medium Cheddar Cheese, Raisins, Almonds and White Chocolat, 3x43g",6.67,cracker_sweet_cheddar_cheese_raisins_almonds_white_
"Pillsbury Ready to Bake™ Reese Peanut Butter Cookie Dough, 20 cookies, 260 g",3.88,pillsbury_reese_peanut_butter_cookie_dough_cookies_
"Nordica on-the-go Single Serve Plain 1% M.F. Cottage Cheese, 4 x 113 g",5.68,serve_cottage_cheese_
"Sealtest Chocolate Parly Skimmed 1% Milk, 473 mL",1.68,chocolate_milk_
"Burnbrae Farms EGG Creations Whole Eggs Original, 500 g",5.98,egg_whole_eggs_
"Natrel Fine-filtered 0% Fat Free Skim Milk, 1 L",3.58,natrel_fat_milk_
"Siggi's Vanilla 0%, 750 g",6.27,vanilla_
"Mini Babybel Swiss Cheese Snacks 6P, 6 Portions, 120 g",3.47,swiss_cheese_snacks_
"Silk Dairy Free Plant Based Almond Yogurt, Vanilla Flavour, 640g Dairy Free Plant Based Yogurt",5.97,dairy_based_almond_yogurt_vanilla_
"The Laughing Cow, Original, Spreadable Cheese 32P, 32 Portions, 535 g",8.67,cheese_
"Pillsbury Sugar Cookie Dough, 468 g",3.48,pillsbury_sugar_cookie_dough_
"Kraft Extra Cheddar Slices, 390g, 14ct, 390g",7.17,kraft_extra_cheddar_
"Silk Organic Soy Beverage, Original, Dairy-Free, Shelf Stable, 946ml Soy Milk",3.47,soy_beverage_dairy_milk_
"Black Diamond Cheestring Lactose Free Marble Cheese, 12 pack, 252g",7.78,black_cheese_
"OIKOS Greek Yogurt, Reduced Sugar, Fat Free, Vanilla, 750g, 750g",6.98,oikos_greek_yogurt_sugar_fat_vanilla_
"Natrel Fine-filtered 10% Half & Half Cream, 1 L",5.38,natrel_half_cream_
"Liberté Greek Crunch Café Latte flavour, 2 x 130 g",4.28,greek_crunch_
"Babybel Mini Rolls Cheese Snacks 6P, 6 Portions, 102 g",4.97,rolls_cheese_snacks_
"SLK PRO VAN 4X95 G, Silk Probiotic Vanilla 4x95g",4.49,vanilla_
"Oikos Extra Creamy Greek Yogurt, Extra Creamy Plain 11%, 750g, 750g Greek Yogurt Tub",6.98,oikos_extra_creamy_greek_yogurt_
"Balderson Royal Canadian Cheddar Cheese Portions 6 Pack, 6 x 21g, 126g",8.17,canadian_cheddar_cheese_
"Blue Diamond Original Unsweetened Almond Breeze, 1.89 L",4.97,blue_almond_
"Sealtest Partly Skimmed 1% Strawberry Milk, 473 mL",1.68,strawberry_milk_
"Blue Diamond Unsweetened Chocolate Almond Breeze, 946 ML",3.27,blue_chocolate_almond_
"Olympic Krema Yogurt Plain 10%, 650 g",5.98,yogurt_
"Double Double-Mate Liquid Coffee Enhancer, 1.9 L",9.27,double_liquid_coffee_
"Activia Probiotic Yogurt, 4x Blueberry, 4x Strawberry & Rhubarb, 8 pack, 8 x 100g",4.98,yogurt_blueberry_strawberry_rhubarb_
"Yoplait Yop 1% Drinkable Yogurt, Mango, Lactose Free Yogurt Drink, 200 mL, 200 mL",1.27,yoplait_yogurt_mango_drink_
"Black Diamond Mexican Shredded Cheese, 320 g",7.67,black_mexican_shredded_cheese_
"Black Diamond Light Cheddar Slices, 22 slices, 410 g",3.97,black_cheddar_
"Silk Oat Beverage, Vanilla, Unsweetened, Dairy-Free, Shelf Stable 946ml, 946ml Shelf Stable Plant Based Milk",3.47,oat_beverage_vanilla_dairy_based_milk_
"Milk2Go 1% Chocolate Partly Skimmed Milk, 310 mL",1.48,chocolate_milk_
"Astro Biobest Probiotic Yogurt Plain 1%, 750 g",3.48,yogurt_
"Our Finest Vintage Cheddar Cheese, 480 g",13.07,cheddar_cheese_
"Cracker Barrel Cheddar White Old Cheese, 400g",8.17,cracker_cheddar_white_cheese_
"Liberté Méditerranée 9% Yogurt, Orchard Peach, 100 g, 4 ct, 4 x 100 g",4.28,yogurt_peach_
"Olympic Organic Yogurt Plain 3.5%, 1.75 kg",10.27,yogurt_
"Philadelphia Original Light Cream Cheese Product, 340g",6.98,cream_cheese_
"Liquid Hazelnut, 0.9 L",5.68,liquid_
"Natrel Lactose Free 1%, 4 L",10.88,natrel_
"Becel Plant Butter Salted 454g, 454g",5.78,butter_salted_
"Danone YoCrunch Yogurt Vanilla With M&M's Topping, 2 x 143 g",3.27,yogurt_vanilla_topping_
"Oikos Fat Free Greek Yogurt, Vanilla Flavour, Blended, 0% M.F., 750g Greek Yogurt Tub",6.98,oikos_fat_greek_yogurt_vanilla_
"Cracker Barrel Shredded Cheese Double Cheddar, 320g",7.67,cracker_shredded_cheese_double_cheddar_
"Natrel Lactose Free Butter, 250 g",6.28,natrel_butter_
"Black Diamond Thick Cheddar Slices, 14 slices, 410 g",3.97,black_cheddar_
"Black Diamond Shredded Mozzarella Cheese, 320 g",7.67,black_shredded_mozzarella_cheese_
"Double Double-mate Liquid Coffee Enhancer, Double Double-mate Liquid Coffee Enhancer",5.68,double_liquid_coffee_
"Philadelphia Whipped Jalapeno Cheddar Cream Cheese Product, 227g",4.58,whipped_jalapeno_cheddar_cream_cheese_
"Armstrong Nibblers Original Natural Snacking Cheese curds, 200g",6.37,cheese_
"Kraft Singles Original Slices, 44 Slices",11.27,kraft_
"Naturegg Simply Egg Whites™ Free Run Burnbrae Farms, 500g",5.47,egg_
"DANINO STRAW BANANA, 6X93ml",3.27,banana_
"Nordica 4% M F Creamed  Cottage Cheese, 500 g",4.98,creamed_cottage_cheese_
"Caramel Macchiato Liquid Coffee Enhancer, 0.9 L",5.68,caramel_liquid_coffee_
"Silk Creamy Cashew Beverage, Unsweetened Original, Dairy-Free, 1.89L, 1.89L Cashew Milk",4.78,creamy_cashew_beverage_dairy_milk_
"Silk NextMilk, Plant Based Dairy Free Milk, Regular, 1.74L Dairy like Milk",4.78,based_dairy_milk_
"Natrel Plus 2% Milk, 2 L",7.48,natrel_milk_
"Silk Protein Plant-Based Yogurt, Key Lime flavoured, 500 g",5.97,protein_based_yogurt_lime_
"Gay Lea Foods Gay Lea Gold Sour Cream, Premium 425mL",3.18,foods_sour_cream_
"Activia Probiotic Yogurt, Raspberry/Apple/Blackberry/Strawberry Flavour, 12x100g, 12 x 100g",6.78,yogurt_raspberry_apple_blackberry_strawberry_
"Gay Lea Butter Grass Fed Unsalted 250g, Gay Lea Grass Fed Unsalted Butter 250g",7.98,butter_
"Silk Oat Beverage, Plain, Unsweetened, Dairy-Free, Shelf Stable 946ml, 946ml Shelf Stable Plant Based Milk",3.47,oat_beverage_dairy_based_milk_
"Silk Organic Coconut Beverage, Unsweetened, Dairy-Free, Shelf Stable, 946ml Shelf Stable Plant Based Milk",3.27,coconut_beverage_dairy_based_milk_
"Gay Lea Salted Butter Convenient Sticks, 454 g",6.98,salted_butter_sticks_
"Cracker Barrel Medium Cheddar Cheese Slices, 12 Slices",6.67,cracker_cheddar_cheese_
"IMPERIAL MARG 212G, 212g",2.68,imperial_
"Liberté Greek 0% Yogurt, Vanilla, High Protein, 750 g, 750 g",5.87,greek_yogurt_vanilla_protein_
"Activia Yogurt with Probiotics, Strawberry Flavour, 12x100g, 12 x 100g yogurt cups",6.78,yogurt_strawberry_
"Natrel Lactose Free 35% Whipping Cream, 473 mL",4.88,natrel_cream_
"Astro Original Strawberry Delight Yogurt, 12 x 100 g",5.98,strawberry_yogurt_
"Natrel Fine-filtered 2% Milk, 1 L",3.78,natrel_milk_
"Natrel Fine-filtered 3.25% Homogenized Milk, 2 L",5.78,natrel_homogenized_milk_
"Oikos Greek Yogurt, Plain, No Added Sugar, 2% M.F., 4 x 100g Greek Yogurt Cups",4.28,oikos_greek_yogurt_added_sugar_
"Activia Yogurt with Probiotics, Lactose Free, Strawberry, Blueberry, Peach, Mango Flavour, 12x100g, 12 x 100g",6.78,yogurt_strawberry_blueberry_peach_mango_
